                                                                              Pass rates + time (grouped)                                                                               
┏━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━┳━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━┳━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━┳━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━┓
┃ benchmark ┃ backend ┃ model           ┃ debug ┃ timeout ┃ samples ┃ retrieval ┃ runs ┃ total ┃ passed ┃ timed_out ┃ timeout_rate ┃ pass_rate ┃ avg_s ┃ p95_s ┃ sec/solve ┃ solves/hr ┃
┡━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━╇━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━╇━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━╇━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━━┩
│ mbpp      │ ollama  │ granite4:latest │     0 │      60 │       2 │    off    │   20 │   500 │    272 │         1 │         0.2% │     54.4% │  3.04 │  5.17 │      5.59 │    644.04 │
│ mbpp      │ ollama  │ granite4:latest │     0 │      90 │       3 │    off    │   20 │   482 │    293 │         0 │         0.0% │     60.8% │  4.06 │  6.16 │      6.67 │    539.60 │
│ mbpp      │ ollama  │ granite4:latest │     0 │      90 │       1 │    off    │   20 │   500 │    201 │         0 │         0.0% │     40.2% │  3.51 │  3.74 │      8.72 │    412.65 │
│ mbpp      │ ollama  │ granite4:latest │     0 │      60 │       3 │    off    │   20 │   500 │    299 │         0 │         0.0% │     59.8% │  5.33 │  6.11 │      8.92 │    403.73 │
│ mbpp      │ ollama  │ granite4:latest │     1 │      60 │       3 │    off    │   20 │   500 │    338 │         0 │         0.0% │     67.6% │  7.87 │ 14.00 │     11.64 │    309.36 │
│ mbpp      │ ollama  │ granite4:latest │     1 │      90 │       3 │    off    │   20 │   500 │    331 │         1 │         0.2% │     66.2% │  8.36 │ 14.10 │     12.63 │    285.02 │
│ mbpp      │ ollama  │ granite4:latest │     0 │      60 │       1 │    off    │   20 │   500 │    200 │         1 │         0.2% │     40.0% │  5.30 │  3.57 │     13.26 │    271.46 │
│ mbpp      │ ollama  │ granite4:latest │     2 │      90 │       3 │    off    │   20 │   500 │    334 │         0 │         0.0% │     66.8% │  8.95 │ 20.11 │     13.40 │    268.73 │
│ mbpp      │ ollama  │ granite4:latest │     2 │      60 │       2 │    off    │   20 │   500 │    306 │         2 │         0.4% │     61.2% │  8.39 │ 18.52 │     13.70 │    262.72 │
│ mbpp      │ ollama  │ granite4:latest │     1 │      90 │       2 │    off    │   20 │   500 │    296 │         1 │         0.2% │     59.2% │  8.49 │ 13.98 │     14.34 │    251.03 │
│ mbpp      │ ollama  │ granite4:latest │     1 │      60 │       2 │    off    │   20 │   500 │    295 │         2 │         0.4% │     59.0% │  8.46 │ 11.28 │     14.35 │    250.95 │
│ mbpp      │ ollama  │ granite4:latest │     0 │      90 │       2 │    off    │   20 │   500 │    263 │         1 │         0.2% │     52.6% │  7.70 │  5.44 │     14.63 │    246.01 │
│ mbpp      │ ollama  │ granite4:latest │     2 │      60 │       3 │    off    │   20 │   494 │    335 │         0 │         0.0% │     67.8% │ 10.16 │ 22.31 │     14.98 │    240.25 │
│ mbpp      │ ollama  │ granite4:latest │     2 │      90 │       1 │    off    │   20 │   500 │    261 │         2 │         0.4% │     52.2% │  8.37 │ 10.08 │     16.04 │    224.48 │
│ mbpp      │ ollama  │ granite4:latest │     2 │      90 │       2 │    off    │   20 │   500 │    314 │         3 │         0.6% │     62.8% │ 12.26 │ 19.32 │     19.53 │    184.36 │
│ mbpp      │ ollama  │ granite4:latest │     1 │      60 │       1 │    off    │   20 │   500 │    232 │         1 │         0.2% │     46.4% │  9.15 │  6.61 │     19.72 │    182.52 │
│ mbpp      │ ollama  │ granite4:latest │     2 │      60 │       1 │    off    │   20 │   500 │    254 │         1 │         0.2% │     50.8% │ 11.74 │ 10.53 │     23.12 │    155.73 │
│ mbpp      │ ollama  │ granite4:latest │     1 │      90 │       1 │    off    │   20 │   500 │    233 │         1 │         0.2% │     46.6% │ 11.69 │  8.23 │     25.09 │    143.49 │
└───────────┴─────────┴─────────────────┴───────┴─────────┴─────────┴───────────┴──────┴───────┴────────┴───────────┴──────────────┴───────────┴───────┴───────┴───────────┴───────────┘
