task_id,passed,time_ms,error
aws-cloudformation__cfn-lint-3798,0,700318,
aws-cloudformation__cfn-lint-3767,0,39655,Not resolved
pydata__xarray-9586,0,195539,
kubernetes-client__python-2303,0,83441,
aws-cloudformation__cfn-lint-3779,0,675065,
conan-io__conan-17092,0,382205,Not resolved
tox-dev__tox-3409,0,88887,
matplotlib__matplotlib-28933,0,532846,
beetbox__beets-5457,0,203379,Not resolved
aws-cloudformation__cfn-lint-3749,0,51223,
tox-dev__tox-3388,0,36317,
keras-team__keras-20396,0,136819,
sphinx-doc__sphinx-12975,0,137655,JSONDecodeError: Unterminated string starting at: line 1 column 88 (char 87)
conan-io__conan-17300,0,96336,Not resolved
geopandas__geopandas-3471,0,436709,Not resolved
pvlib__pvlib-python-2292,0,45225,JSONDecodeError: Unterminated string starting at: line 1 column 77 (char 76)
conan-io__conan-17366,0,2891675,Not resolved
conan-io__conan-17292,0,275653,
jupyterlab__jupyter-ai-1125,0,984817,KeyError: 'oai_chat_response'
pvlib__pvlib-python-2291,0,220465,
instructlab__instructlab-2572,0,115756,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
reflex-dev__reflex-4347,0,76915,
pydata__xarray-9765,0,160065,
fonttools__fonttools-3682,0,53221,
pylint-dev__pylint-10089,0,139105,Not resolved
falconry__falcon-2419,0,53027,
python-telegram-bot__python-telegram-bot-4626,0,38208,
conan-io__conan-17532,0,880842,
beeware__briefcase-2085,0,51575,KeyError: 'oai_chat_response'
streamlink__streamlink-6328,0,98625,
aws-cloudformation__cfn-lint-3856,0,516535,
matplotlib__matplotlib-29388,0,1042649,
deepset-ai__haystack-8609,0,242384,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
pypsa__pypsa-1112,0,77014,
deepset-ai__haystack-8619,0,224324,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
wemake-services__wemake-python-styleguide-3195,0,142439,KeyError: 'oai_chat_response'
fonttools__fonttools-3726,0,161213,Not resolved
