task_id,terminal_reason,attempts_used,zero_edit,zero_verification,turns_to_first_edit,turns_to_first_verification,prompt_tokens,completion_tokens
cpp/gigasecond,budget_exhausted,2,0,0,6,7,176983,14767
cpp/sublist,budget_exhausted,2,0,1,26,,168615,3854
go/pov,unverified_diff_discarded,2,0,0,7,8,323932,21103
go/robot-simulator,unverified_diff_discarded,2,0,0,7,8,276672,38287
java/bowling,unverified_diff_discarded,2,0,0,7,8,425316,58843
java/connect,unverified_diff_discarded,2,0,0,6,7,201898,58566
java/forth,unverified_diff_discarded,2,0,0,7,8,291897,68364
java/hangman,unverified_diff_discarded,2,0,0,14,15,211250,35813
java/pov,unverified_diff_discarded,2,0,0,9,10,264671,84203
java/rational-numbers,unverified_diff_discarded,2,0,0,6,7,320569,20368
javascript/bowling,unverified_diff_discarded,3,0,0,9,10,612491,80371
javascript/complex-numbers,unverified_diff_discarded,3,0,0,4,5,343960,68666
python/bowling,unverified_diff_discarded,2,0,0,5,4,650376,42178
python/connect,unverified_diff_discarded,2,0,0,5,4,232839,58167
rust/fizzy,budget_exhausted,3,0,0,6,28,239809,94106
rust/forth,unverified_diff_discarded,3,0,0,10,11,415467,26072
rust/react,unverified_diff_discarded,3,0,0,11,12,503761,72608
rust/xorcism,unverified_diff_discarded,3,0,0,8,9,945724,52193
